Released,Title,Genre,ProductionBudget,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
1997-02-14,Absolute Power,Thriller/Suspense,5e+07,50068310,97845908,0,50068310
1997-09-12,The Game,Thriller/Suspense,5e+07,48265581,94322932,32104389,80369970
1997-08-22,G.I. Jane,Drama,5e+07,48169156,94134490,0,48169156
1997-06-13,Speed 2: Cruise Control,Action,1.1e+08,48097081,93993634,102370919,150468000
1997-11-26,Alien: Resurrection,Action,6e+07,47795018,93334330,112904982,160700000
1997-04-25,Volcano,Action,9e+07,47546796,92918248,72553204,120100000
1997-08-13,The Full Monty,Comedy,3500000,45950122,89359642,215299261,261249383
1997-11-21,The Rainmaker,Drama,4e+07,45916769,89672776,0,45916769
1997-10-17,Bean,Comedy,0,45334169,88584679,211239959,256574128
1997-08-15,Cop Land,Drama,1.5e+07,44906632,87758704,18800000,63706632
1997-07-18,Nothing To Lose,Comedy,2.5e+07,44480039,86925041,20114022,64594061
1997-12-12,Amistad,Drama,4e+07,44212592,85674793,14037559,58250151
1997-09-26,Soul Food,Comedy,7500000,43492389,84982785,0,43492389
1997-12-25,Wag the Dog,Drama,1.5e+07,43057470,82411767,21194568,64252038
1997-03-26,The Devil's Own,Thriller/Suspense,9e+07,42885593,83809096,98014407,140900000
1997-02-28,Donnie Brasco,Drama,3.5e+07,41954997,81990482,23348055,65303052
1997-09-26,The Peacemaker,Action,5e+07,41263140,80638416,21704228,62967368
1997-03-07,Private Parts,Comedy,0,41198146,80511401,0,41198146
1997-08-22,Money Talks,Action,2.5e+07,41076865,80274396,0,41076865
1997-12-25,Jackie Brown,Drama,1.2e+07,39673162,77011074,35054330,74727492
1997-10-08,Seven Years in Tibet,Drama,7e+07,37945884,74141275,93500000,131445884
1997-02-14,Vegas Vacation,Comedy,0,36470465,71272346,0,36470465
1997-11-21,Mortal Kombat: Annihilation,Action,3e+07,35927406,70174920,15400000,51327406
1997-03-21,Selena,Drama,2e+07,35450113,69278324,0,35450113
1997-05-23,Addicted To Love,Romantic Comedy,0,34673095,67759837,0,34673095
1997-01-10,The Relic,Horror,6e+07,33956608,66359638,0,33956608
1997-01-17,Metro,Action,0,32017895,62570917,0,32017895
1997-12-12,For Richer or Poorer,Comedy,0,31680796,61613898,0,31680796
1997-08-01,Picture Perfect,Romantic Comedy,0,31301775,61171435,0,31301775
1997-01-17,Beverly Hills Ninja,Comedy,0,31245344,61061158,6393685,37639029
1997-12-12,Home Alone III,Comedy,0,30692437,59713093,0,30692437
1997-02-14,Fools Rush In,Romantic Comedy,0,29299524,57258542,0,29299524
